"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"TAS","Unknown","0-16","unlicensed_driving","Not applicable",0,4,2,"Unknown"
2024,"TAS","Unknown","17-25","unlicensed_driving","Not applicable",3,0,19,"Unknown"
2024,"TAS","Unknown","26-39","unlicensed_driving","Not applicable",5,0,44,"Unknown"
2024,"TAS","Unknown","40-64","unlicensed_driving","Not applicable",11,0,37,"Unknown"
2024,"TAS","Unknown","65 and over","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"VIC","Unknown","0-16","unlicensed_driving","Not applicable",7,0,0,"Unknown"
2024,"VIC","Unknown","17-25","unlicensed_driving","Not applicable",213,0,0,"Unknown"
2024,"VIC","Unknown","26-39","unlicensed_driving","Not applicable",400,0,0,"Unknown"
2024,"VIC","Unknown","40-64","unlicensed_driving","Not applicable",205,0,0,"Unknown"
2024,"VIC","Unknown","65 and over","unlicensed_driving","Not applicable",21,0,0,"Unknown"
2024,"WA","Unknown","0-16","unlicensed_driving","Not applicable",0,17,49,"Unknown"
2024,"WA","Unknown","17-25","unlicensed_driving","Not applicable",39,36,347,"Unknown"
2024,"WA","Unknown","26-39","unlicensed_driving","Not applicable",89,85,615,"Unknown"
2024,"WA","Unknown","40-64","unlicensed_driving","Not applicable",64,36,390,"Unknown"
2024,"WA","Unknown","65 and over","unlicensed_driving","Not applicable",13,0,10,"Unknown"
2024,"ACT","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",5,3,10,"Unknown"
2024,"ACT","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",11,9,19,"Unknown"
2024,"ACT","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",9,3,17,"Unknown"
2024,"ACT","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Inner Regional Australia","0-16","unlicensed_driving","Not applicable",1,0,4,"Unknown"
2024,"NSW","Inner Regional Australia","17-25","unlicensed_driving","Not applicable",23,0,164,"Unknown"
2024,"NSW","Inner Regional Australia","26-39","unlicensed_driving","Not applicable",86,0,240,"Unknown"
2024,"NSW","Inner Regional Australia","40-64","unlicensed_driving","Not applicable",59,0,183,"Unknown"
2024,"NSW","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",10,0,18,"Unknown"
2024,"NSW","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",2,0,21,"Unknown"
2024,"NSW","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",188,0,492,"Unknown"
2024,"NSW","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",193,0,572,"Unknown"
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",107,0,431,"Unknown"
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",11,0,28,"Unknown"
2024,"NSW","Outer Regional Australia","0-16","unlicensed_driving","Not applicable",0,0,4,"Unknown"
2024,"NSW","Outer Regional Australia","17-25","unlicensed_driving","Not applicable",8,0,39,"Unknown"
2024,"NSW","Outer Regional Australia","26-39","unlicensed_driving","Not applicable",27,0,48,"Unknown"
2024,"NSW","Outer Regional Australia","40-64","unlicensed_driving","Not applicable",23,0,35,"Unknown"
2024,"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NSW","Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Remote Australia","26-39","unlicensed_driving","Not applicable",4,0,7,"Unknown"
2024,"NSW","Remote Australia","40-64","unlicensed_driving","Not applicable",0,0,3,"Unknown"
2024,"NSW","Unknown","0-16","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Unknown","17-25","unlicensed_driving","Not applicable",1,0,15,"Unknown"
2024,"NSW","Unknown","26-39","unlicensed_driving","Not applicable",1,0,22,"Unknown"
2024,"NSW","Unknown","40-64","unlicensed_driving","Not applicable",1,0,15,"Unknown"
2024,"NSW","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,1,"Unknown"
2024,"NSW","Very Remote Australia","0-16","unlicensed_driving","Not applicable",0,0,2,"Unknown"
2024,"NSW","Very Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,3,"Unknown"
2024,"NSW","Very Remote Australia","26-39","unlicensed_driving","Not applicable",0,0,3,"Unknown"
2024,"NSW","Very Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,3,"Unknown"
2024,"NT","Unknown","0-16","unlicensed_driving","Not applicable",0,12,26,"Unknown"
2024,"NT","Unknown","17-25","unlicensed_driving","Not applicable",7,9,59,"Unknown"
2024,"NT","Unknown","26-39","unlicensed_driving","Not applicable",22,15,93,"Unknown"
2024,"NT","Unknown","40-64","unlicensed_driving","Not applicable",13,10,51,"Unknown"
2024,"QLD","Unknown","0-16","unlicensed_driving","Not applicable",47,0,0,"Unknown"
2024,"QLD","Unknown","17-25","unlicensed_driving","Not applicable",531,0,0,"Unknown"
2024,"QLD","Unknown","26-39","unlicensed_driving","Not applicable",836,0,0,"Unknown"
2024,"QLD","Unknown","40-64","unlicensed_driving","Not applicable",566,0,0,"Unknown"
2024,"QLD","Unknown","65 and over","unlicensed_driving","Not applicable",40,0,0,"Unknown"
2024,"QLD","Unknown","Unknown","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"SA","Inner Regional Australia","65 and over","unlicensed_driving","Not applicable",2,0,0,"Unknown"
2024,"SA","Inner Regional Australia","Unknown","unlicensed_driving","Not applicable",55,0,0,"Unknown"
2024,"SA","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",11,0,0,"Unknown"
2024,"SA","Major Cities of Australia","Unknown","unlicensed_driving","Not applicable",385,0,0,"Unknown"
2024,"SA","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",3,0,0,"Unknown"
2024,"SA","Outer Regional Australia","Unknown","unlicensed_driving","Not applicable",52,0,0,"Unknown"
2024,"SA","Remote Australia","65 and over","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"SA","Remote Australia","Unknown","unlicensed_driving","Not applicable",14,0,0,"Unknown"
2024,"SA","Unknown","0-16","unlicensed_driving","Not applicable",0,4,7,"Unknown"
2024,"SA","Unknown","17-25","unlicensed_driving","Not applicable",0,13,46,"Unknown"
2024,"SA","Unknown","26-39","unlicensed_driving","Not applicable",0,53,142,"Unknown"
2024,"SA","Unknown","40-64","unlicensed_driving","Not applicable",0,25,136,"Unknown"
2024,"SA","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,0,"Unknown"
2024,"SA","Unknown","Unknown","unlicensed_driving","Not applicable",18,0,0,"Unknown"
2024,"SA","Very Remote Australia","Unknown","unlicensed_driving","Not applicable",12,0,0,"Unknown"
2024,"TAS","Unknown","0-16","unlicensed_driving","Not applicable",0,1,8,"Unknown"
2024,"TAS","Unknown","17-25","unlicensed_driving","Not applicable",3,0,21,"Unknown"
2024,"TAS","Unknown","26-39","unlicensed_driving","Not applicable",7,0,36,"Unknown"
2024,"TAS","Unknown","40-64","unlicensed_driving","Not applicable",5,0,27,"Unknown"
2024,"VIC","Unknown","0-16","unlicensed_driving","Not applicable",6,0,0,"Unknown"
2024,"VIC","Unknown","17-25","unlicensed_driving","Not applicable",202,0,0,"Unknown"
2024,"VIC","Unknown","26-39","unlicensed_driving","Not applicable",383,0,0,"Unknown"
2024,"VIC","Unknown","40-64","unlicensed_driving","Not applicable",212,0,0,"Unknown"
2024,"VIC","Unknown","65 and over","unlicensed_driving","Not applicable",24,0,0,"Unknown"
2024,"VIC","Unknown","Unknown","unlicensed_driving","Not applicable",1,0,0,"Unknown"
2024,"WA","Unknown","0-16","unlicensed_driving","Not applicable",0,10,36,"Unknown"
2024,"WA","Unknown","17-25","unlicensed_driving","Not applicable",33,26,301,"Unknown"
2024,"WA","Unknown","26-39","unlicensed_driving","Not applicable",84,89,594,"Unknown"
2024,"WA","Unknown","40-64","unlicensed_driving","Not applicable",58,41,377,"Unknown"
2024,"WA","Unknown","65 and over","unlicensed_driving","Not applicable",6,1,11,"Unknown"
2024,"ACT","Major Cities of Australia","0-16","unlicensed_driving","Not applicable",0,3,3,"Unknown"
2024,"ACT","Major Cities of Australia","17-25","unlicensed_driving","Not applicable",8,5,9,"Unknown"
2024,"ACT","Major Cities of Australia","26-39","unlicensed_driving","Not applicable",9,10,33,"Unknown"
2024,"ACT","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",5,4,8,"Unknown"
