"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"TAS","Unknown","17-25","mobile_phone_use","Fixed or mobile camera",13,0,0,"Camera"
2024,"TAS","Unknown","17-25","mobile_phone_use","Police issued",22,0,1,"Police"
2024,"TAS","Unknown","26-39","mobile_phone_use","Fixed or mobile camera",58,0,0,"Camera"
2024,"TAS","Unknown","26-39","mobile_phone_use","Police issued",52,0,3,"Police"
2024,"TAS","Unknown","40-64","mobile_phone_use","Fixed or mobile camera",61,0,0,"Camera"
2024,"TAS","Unknown","40-64","mobile_phone_use","Police issued",24,0,3,"Police"
2024,"TAS","Unknown","65 and over","mobile_phone_use","Fixed or mobile camera",10,0,0,"Camera"
2024,"TAS","Unknown","65 and over","mobile_phone_use","Police issued",5,0,0,"Police"
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","17-25","mobile_phone_use","Mobile camera",22,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","26-39","mobile_phone_use","Mobile camera",120,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","40-64","mobile_phone_use","Mobile camera",168,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","65 and over","mobile_phone_use","Mobile camera",24,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","mobile_phone_use","Fixed camera",0,0,0,"Camera"
2024,"VIC","Inner Regional Australia","Unknown","mobile_phone_use","Mobile camera",147,0,0,"Camera"
